timestamp,heart rate,temperature,enhanced altitude
2024-08-02T15:01:12.000Z,98,32,221.6
2024-08-02T15:01:13.000Z,98,31,221.6
2024-08-02T15:01:14.000Z,98,32,221.6
2024-08-02T15:01:15.000Z,97,31,221.6
2024-08-02T15:01:16.000Z,95,32,221.6
2024-08-02T15:01:17.000Z,96,32,221.6
2024-08-02T15:01:18.000Z,95,31,221.6
2024-08-02T15:01:19.000Z,95,32,221.6
2024-08-02T15:01:20.000Z,96,32,221.6
2024-08-02T15:01:21.000Z,96,32,221.6
2024-08-02T15:01:22.000Z,94,32,221.6
2024-08-02T15:01:23.000Z,94,31,221.6
2024-08-02T15:01:24.000Z,95,32,221.6
2024-08-02T15:01:25.000Z,95,31,221.6
2024-08-02T15:01:26.000Z,95,32,221.6
2024-08-02T15:01:27.000Z,94,31,221.6
2024-08-02T15:01:28.000Z,94,31,221.6
2024-08-02T15:01:29.000Z,95,31,221.6
2024-08-02T15:01:30.000Z,95,32,221.6
2024-08-02T15:01:31.000Z,94,31,221.6
2024-08-02T15:01:32.000Z,94,31,221.6
2024-08-02T15:01:33.000Z,94,31,221.6
2024-08-02T15:01:34.000Z,94,31,221.6
2024-08-02T15:01:35.000Z,94,31,221.6
2024-08-02T15:01:36.000Z,94,31,221.6
2024-08-02T15:01:37.000Z,93,31,221.6
2024-08-02T15:01:38.000Z,93,31,221.6
2024-08-02T15:01:39.000Z,93,31,221.6
2024-08-02T15:01:40.000Z,94,31,221.6
2024-08-02T15:01:41.000Z,94,31,221.6
2024-08-02T15:01:42.000Z,95,31,221.6
2024-08-02T15:01:43.000Z,95,31,221.6
2024-08-02T15:01:44.000Z,95,31,221.6
2024-08-02T15:01:45.000Z,97,31,221.6
2024-08-02T15:01:46.000Z,99,31,221.6
2024-08-02T15:01:47.000Z,96,31,221.6
2024-08-02T15:01:48.000Z,102,31,221.6
2024-08-02T15:01:49.000Z,100,31,221.6
2024-08-02T15:01:50.000Z,100,31,221.6
2024-08-02T15:01:51.000Z,98,31,221.6
2024-08-02T15:01:52.000Z,98,31,221.6
2024-08-02T15:01:53.000Z,97,31,221.6
2024-08-02T15:01:54.000Z,98,31,221.6
2024-08-02T15:01:55.000Z,98,31,221.6
2024-08-02T15:01:56.000Z,96,31,221.6
2024-08-02T15:01:57.000Z,96,31,221.6
2024-08-02T15:01:58.000Z,96,31,221.6
2024-08-02T15:01:59.000Z,97,31,221.6
2024-08-02T15:02:00.000Z,97,31,221.6
2024-08-02T15:02:01.000Z,97,31,221.6
2024-08-02T15:02:02.000Z,97,31,221.6
2024-08-02T15:02:03.000Z,98,31,221.6
2024-08-02T15:02:04.000Z,98,31,221.6
2024-08-02T15:02:05.000Z,98,31,221.6
2024-08-02T15:02:06.000Z,100,31,221.6
2024-08-02T15:02:07.000Z,99,31,221.6
2024-08-02T15:02:08.000Z,102,31,221.6
2024-08-02T15:02:09.000Z,107,31,221.6
2024-08-02T15:02:10.000Z,107,31,221.6
2024-08-02T15:02:11.000Z,105,31,221.6
2024-08-02T15:02:12.000Z,104,31,221.6
2024-08-02T15:02:13.000Z,103,31,221.6
2024-08-02T15:02:14.000Z,103,31,221.6
2024-08-02T15:02:15.000Z,104,31,221.6
2024-08-02T15:02:16.000Z,105,31,221.6
2024-08-02T15:02:17.000Z,105,31,221.6
2024-08-02T15:02:18.000Z,104,31,221.6
2024-08-02T15:02:19.000Z,104,31,221.6
2024-08-02T15:02:20.000Z,104,31,221.6
2024-08-02T15:02:21.000Z,104,31,221.6
2024-08-02T15:02:22.000Z,105,31,221.6
2024-08-02T15:02:23.000Z,104,31,221.6
2024-08-02T15:02:24.000Z,104,31,221.6
2024-08-02T15:02:25.000Z,103,31,221.6
2024-08-02T15:02:26.000Z,103,31,221.6
2024-08-02T15:02:27.000Z,104,31,221.6
2024-08-02T15:02:28.000Z,104,31,221.6
2024-08-02T15:02:29.000Z,105,31,221.6
2024-08-02T15:02:30.000Z,105,31,221.6
2024-08-02T15:02:31.000Z,106,31,221.6
2024-08-02T15:02:32.000Z,107,31,221.6
2024-08-02T15:02:33.000Z,108,31,221.6
2024-08-02T15:02:34.000Z,108,31,221.6
2024-08-02T15:02:35.000Z,108,31,221.6
2024-08-02T15:02:36.000Z,108,31,221.6
2024-08-02T15:02:37.000Z,108,31,221.6
2024-08-02T15:02:38.000Z,108,31,221.6
2024-08-02T15:02:39.000Z,109,31,221.6
2024-08-02T15:02:40.000Z,109,31,221.6
2024-08-02T15:02:41.000Z,111,31,221.6
2024-08-02T15:02:42.000Z,111,31,221.6
2024-08-02T15:02:43.000Z,110,31,221.6
2024-08-02T15:02:44.000Z,111,31,221.6
2024-08-02T15:02:45.000Z,110,31,221.6
2024-08-02T15:02:46.000Z,111,31,221.6
2024-08-02T15:02:47.000Z,112,31,221.6
2024-08-02T15:02:48.000Z,112,31,221.6
2024-08-02T15:02:49.000Z,112,31,221.6
2024-08-02T15:02:50.000Z,113,31,221.6
2024-08-02T15:02:51.000Z,114,31,221.6
2024-08-02T15:02:52.000Z,114,31,221.6
2024-08-02T15:02:53.000Z,114,31,221.6
2024-08-02T15:02:54.000Z,114,31,221.6
2024-08-02T15:02:55.000Z,114,31,221.6
2024-08-02T15:02:56.000Z,113,31,221.6
2024-08-02T15:02:57.000Z,114,31,221.6
2024-08-02T15:02:58.000Z,113,31,221.6
2024-08-02T15:02:59.000Z,113,31,221.6
2024-08-02T15:03:00.000Z,114,31,221.6
2024-08-02T15:03:01.000Z,115,31,221.6
2024-08-02T15:03:02.000Z,114,31,221.6
2024-08-02T15:03:03.000Z,115,31,221.6
2024-08-02T15:03:04.000Z,115,31,221.6
2024-08-02T15:03:05.000Z,116,31,221.6
2024-08-02T15:03:06.000Z,116,31,221.6
2024-08-02T15:03:07.000Z,116,31,221.6
2024-08-02T15:03:08.000Z,117,31,221.6
2024-08-02T15:03:09.000Z,118,31,221.6
2024-08-02T15:03:10.000Z,118,31,221.6
2024-08-02T15:03:11.000Z,119,31,221.6
2024-08-02T15:03:12.000Z,120,31,221.6
2024-08-02T15:03:13.000Z,120,31,221.6
2024-08-02T15:03:14.000Z,120,31,221.6
2024-08-02T15:03:15.000Z,119,31,221.6
2024-08-02T15:03:16.000Z,119,31,221.6
2024-08-02T15:03:17.000Z,120,31,221.6
2024-08-02T15:03:18.000Z,120,31,221.6
2024-08-02T15:03:19.000Z,120,31,221.6
2024-08-02T15:03:20.000Z,120,31,221.6
2024-08-02T15:03:21.000Z,120,31,221.6
2024-08-02T15:03:22.000Z,119,31,221.6
2024-08-02T15:03:23.000Z,119,31,221.6
2024-08-02T15:03:24.000Z,117,31,221.6
2024-08-02T15:03:25.000Z,117,31,221.6
2024-08-02T15:03:26.000Z,116,31,221.6
2024-08-02T15:03:27.000Z,114,31,221.6
2024-08-02T15:03:28.000Z,114,31,221.6
2024-08-02T15:03:29.000Z,114,31,221.6
2024-08-02T15:03:30.000Z,116,31,221.6
2024-08-02T15:03:31.000Z,116,31,221.6
2024-08-02T15:03:32.000Z,115,31,221.6
2024-08-02T15:03:33.000Z,114,31,221.6
2024-08-02T15:03:34.000Z,113,31,221.6
2024-08-02T15:03:35.000Z,111,31,221.6
2024-08-02T15:03:36.000Z,111,31,221.6
2024-08-02T15:03:37.000Z,111,31,221.6
2024-08-02T15:03:38.000Z,110,31,221.6
2024-08-02T15:03:39.000Z,110,31,221.6
2024-08-02T15:03:40.000Z,110,31,221.6
2024-08-02T15:03:41.000Z,111,31,221.6
2024-08-02T15:03:42.000Z,110,31,221.6
2024-08-02T15:03:43.000Z,109,31,221.6
2024-08-02T15:03:44.000Z,107,31,221.6
2024-08-02T15:03:45.000Z,108,31,221.6
2024-08-02T15:03:46.000Z,106,31,221.6
2024-08-02T15:03:47.000Z,107,31,221.6
2024-08-02T15:03:48.000Z,106,31,221.6
2024-08-02T15:03:49.000Z,106,31,221.6
2024-08-02T15:03:50.000Z,106,31,221.6
2024-08-02T15:03:51.000Z,106,31,221.6
2024-08-02T15:03:52.000Z,105,31,221.6
2024-08-02T15:03:53.000Z,106,31,221.6
2024-08-02T15:03:54.000Z,105,31,221.6
2024-08-02T15:03:55.000Z,105,31,221.6
2024-08-02T15:03:56.000Z,105,31,221.6
2024-08-02T15:03:57.000Z,104,31,221.6
2024-08-02T15:03:58.000Z,104,31,221.6
2024-08-02T15:03:59.000Z,104,31,221.6
2024-08-02T15:04:00.000Z,101,31,221.6
2024-08-02T15:04:01.000Z,101,31,221.6
2024-08-02T15:04:02.000Z,101,31,221.6
2024-08-02T15:04:03.000Z,101,31,221.6
2024-08-02T15:04:04.000Z,102,31,221.6
2024-08-02T15:04:05.000Z,101,31,221.6
2024-08-02T15:04:06.000Z,100,31,221.6
2024-08-02T15:04:07.000Z,99,31,221.6
2024-08-02T15:04:08.000Z,97,31,221.6
2024-08-02T15:04:09.000Z,95,31,221.6
2024-08-02T15:04:10.000Z,93,31,221.6
2024-08-02T15:04:11.000Z,90,31,221.6
2024-08-02T15:04:12.000Z,87,31,221.6
2024-08-02T15:04:13.000Z,85,31,221.6
2024-08-02T15:04:14.000Z,83,31,221.6
2024-08-02T15:04:15.000Z,82,31,221.6
2024-08-02T15:04:16.000Z,81,31,221.6
2024-08-02T15:04:17.000Z,80,31,221.6
2024-08-02T15:04:18.000Z,79,31,221.6
2024-08-02T15:04:19.000Z,79,31,221.6
2024-08-02T15:04:20.000Z,79,31,221.6
2024-08-02T15:04:21.000Z,79,31,221.6
2024-08-02T15:04:22.000Z,79,31,221.6
2024-08-02T15:04:23.000Z,80,31,221.6
2024-08-02T15:04:24.000Z,79,31,221.6
2024-08-02T15:04:25.000Z,80,31,221.6
2024-08-02T15:04:26.000Z,80,31,221.6
2024-08-02T15:04:27.000Z,81,31,221.6
2024-08-02T15:04:28.000Z,81,31,221.6
2024-08-02T15:04:29.000Z,81,31,221.6
2024-08-02T15:04:30.000Z,81,31,221.6
2024-08-02T15:04:31.000Z,82,31,221.6
2024-08-02T15:04:32.000Z,82,31,221.6
2024-08-02T15:04:33.000Z,83,31,221.6
2024-08-02T15:04:34.000Z,84,31,221.6
2024-08-02T15:04:35.000Z,84,31,221.6
2024-08-02T15:04:36.000Z,86,31,221.6
2024-08-02T15:04:37.000Z,87,31,221.6
2024-08-02T15:04:38.000Z,88,31,221.6
2024-08-02T15:04:39.000Z,89,31,221.6
2024-08-02T15:04:40.000Z,90,31,221.6
2024-08-02T15:04:41.000Z,91,31,221.6
2024-08-02T15:04:42.000Z,92,31,221.6
2024-08-02T15:04:43.000Z,93,31,221.6
2024-08-02T15:04:44.000Z,93,31,221.6
2024-08-02T15:04:45.000Z,92,31,221.6
2024-08-02T15:04:46.000Z,91,31,221.6
2024-08-02T15:04:47.000Z,91,31,221.6
2024-08-02T15:04:48.000Z,90,31,221.6
2024-08-02T15:04:49.000Z,89,31,221.6
2024-08-02T15:04:50.000Z,88,31,221.6
2024-08-02T15:04:51.000Z,88,31,221.6
2024-08-02T15:04:52.000Z,88,31,221.6
2024-08-02T15:04:53.000Z,88,31,221.6
